phenomenonTime,ndvi
2024-06-11 08:00:00,0.54839
2024-05-23 08:00:00,0.74545
2024-05-22 08:00:00,0.74648
2024-04-05 08:00:00,0.66667
2024-03-06 08:00:00,0.51724
