Date,Days_After_Sowing,NDVI_Interpolated,NDVI_Lower_CI,NDVI_Upper_CI,FVC_Interpolated,FVC_Lower_CI,FVC_Upper_CI,Ground_Cover_Percentage,Ground_Cover_Lower_CI,Ground_Cover_Upper_CI,Growth_Stage,Sowing_Date,Harvest_Date,temperature_2m,temperature_min,temperature_max,precipitation,humidity,pressure,wind_speed,cloud_cover,gdd_daily,gdd_cumulative
2023-10-17,14,0.06934795129337189,0.059347951293371885,0.10373395129337189,0.0,0.0,0.0,0.0,0.0,0.0,Tillering,2023-10-03,2024-07-30,4.9,1.4,9.2,0.0,79,1019.4,9.6,68,5.3,200.29999999999998
2023-10-18,15,0.07235614064458103,0.062356140644581025,0.10674214064458103,0.0,0.0,0.0,0.0,0.0,0.0,Tillering,2023-10-03,2024-07-30,7.1,2.2,12.5,0.8,77,1010.8,10.7,97,7.35,207.64999999999998
2023-10-19,16,0.07537260563071996,0.06537260563071996,0.10975860563071996,0.0,0.0,0.0,0.0,0.0,0.0,Tillering,2023-10-03,2024-07-30,11.5,7.7,15.2,12.1,92,997.7,10.9,92,11.45,219.09999999999997
2023-10-20,17,0.07839265862527803,0.06839265862527803,0.11277865862527803,0.0,0.0,0.0,0.0,0.0,0.0,Tillering,2023-10-03,2024-07-30,12.5,10.3,16.2,6.4,89,986.4,12.6,95,13.25,232.34999999999997
2023-10-21,18,0.08141586903911155,0.07141586903911155,0.11580186903911155,0.0,0.0,0.0,0.0,0.0,0.0,Tillering,2023-10-03,2024-07-30,12.6,10.6,16.8,7.8,80,999.7,13.2,55,13.7,246.04999999999995
2023-10-22,19,0.08444229537406137,0.07444229537406137,0.11882829537406137,0.0,0.0,0.0,0.0,0.0,0.0,Tillering,2023-10-03,2024-07-30,10.7,7.3,14.7,0.0,77,1011.2,10.8,46,11.0,257.04999999999995
2023-10-23,20,0.08747199710839047,0.07747199710839048,0.12185799710839047,0.0,0.0,0.0,0.0,0.0,0.0,Tillering,2023-10-03,2024-07-30,10.0,4.7,15.3,0.0,80,1013.0,8.8,71,10.0,267.04999999999995
2023-10-24,21,0.09050503470873247,0.08050503470873248,0.12489103470873247,0.0,0.0,0.0,0.0,0.0,0.0,Tillering,2023-10-03,2024-07-30,10.9,9.2,13.4,7.7,93,1006.3,7.7,98,11.3,278.34999999999997
2023-10-25,22,0.09354146964199922,0.08354146964199922,0.12792746964199922,0.0,0.0,0.0,0.0,0.0,0.0,Tillering,2023-10-03,2024-07-30,10.9,8.1,14.9,2.4,87,1002.0,14.2,87,11.5,289.84999999999997
2023-10-26,23,0.09658136438723813,0.08658136438723814,0.13096736438723813,0.0,0.0,0.0,0.0,0.0,0.0,Tillering,2023-10-03,2024-07-30,11.0,9.8,12.5,2.6,86,998.0,14.5,98,11.15,300.99999999999994
2023-10-27,24,0.09962478244742762,0.08962478244742762,0.13401078244742762,0.0,0.0,0.0,0.0,0.0,0.0,Tillering,2023-10-03,2024-07-30,9.5,7.3,11.4,8.5,90,997.0,13.7,78,9.35,310.34999999999997
2023-10-28,25,0.10267178836119986,0.06828578836119986,0.13705778836119986,0.0,0.0,0.0,0.0,0.0,0.0,Tillering,2023-10-03,2024-07-30,10.2,7.9,13.3,1.5,77,1003.7,15.9,87,10.600000000000001,320.95
2023-10-29,26,0.10572244771447914,0.07133644771447914,0.14010844771447914,0.0,0.0,0.0,0.0,0.0,0.0,Tillering,2023-10-03,2024-07-30,12.3,8.9,16.1,0.0,67,1003.6,13.8,99,12.5,333.45
2023-10-30,27,0.10877682715202333,0.07439082715202333,0.14316282715202333,0.0,0.0,0.0,0.0,0.0,0.0,Tillering,2023-10-03,2024-07-30,12.2,8.5,17.0,3.6,85,1003.5,9.1,90,12.75,346.2
2023-10-31,28,0.11183499438885564,0.07744899438885564,0.14622099438885564,0.0,0.0,0.0,0.0,0.0,0.0,Tillering,2023-10-03,2024-07-30,9.6,8.5,11.5,3.0,85,1005.9,19.3,94,10.0,356.2
2023-11-01,29,0.11489701822157342,0.08051101822157342,0.14928301822157342,0.0,0.0,0.0,0.0,0.0,0.0,Tillering,2023-10-03,2024-07-30,10.5,7.4,14.5,0.5,78,1008.4,12.3,84,10.95,367.15
2023-11-02,30,0.11796296853952011,0.08357696853952011,0.15234896853952012,0.0,0.0,0.0033556693421716143,0.0,0.0,0.33556693421716144,Tillering,2023-10-03,2024-07-30,7.8,5.8,10.1,4.3,84,994.0,14.3,88,7.949999999999999,375.09999999999997
2023-11-03,31,0.12103291633580555,0.08664691633580555,0.15541891633580557,0.0,0.0,0.00774130905115082,0.0,0.0,0.774130905115082,Tillering,2023-10-03,2024-07-30,5.6,3.8,7.6,0.8,87,991.3,12.8,98,5.699999999999999,380.79999999999995
2023-11-04,32,0.1241069337181597,0.0897209337181597,0.1584929337181597,0.0,0.0,0.012132762454513868,0.0,0.0,1.2132762454513868,Tillering,2023-10-03,2024-07-30,6.0,3.0,9.7,2.1,81,991.1,16.5,76,6.35,387.15
2023-11-05,33,0.12718509391960403,0.09279909391960403,0.16157109391960403,0.0,0.0,0.01653013417086291,0.0,0.0,1.653013417086291,Tillering,2023-10-03,2024-07-30,8.4,6.6,11.1,5.0,79,987.5,24.0,84,8.85,396.0
2023-11-06,34,0.1302674713089241,0.0958814713089241,0.1646534713089241,0.0,0.0,0.02093353044132016,0.0,0.0,2.093353044132016,Tillering,2023-10-03,2024-07-30,8.6,6.6,11.4,0.0,77,1007.4,19.0,57,9.0,405.0
2023-11-07,35,0.13335414140092644,0.09896814140092644,0.16774014140092644,0.0,0.0,0.025343059144180637,0.0,0.0,2.5343059144180637,Tillering,2023-10-03,2024-07-30,6.4,4.0,9.9,0.7,82,1015.5,15.0,31,6.95,411.95
2023-11-08,36,0.13644518086646176,0.10205918086646176,0.17083118086646176,0.0,0.0,0.0297588298092311,0.0,0.0,2.9758829809231098,Tillering,2023-10-03,2024-07-30,6.1,4.1,9.8,0.0,79,1018.3,16.0,68,6.95,418.9
